GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yorkuproject,singleton,SuperManager,0,84,0,2,0,21,0,7,0,6
yorkuproject,template,User,0,56,0,0,0,24,0,12,0,12
yorkuproject,template,Visitor,0,12,0,0,0,4,0,3,0,3
yorkuproject,template,NonFacultyMember,0,12,0,0,0,4,0,3,0,3
yorkuproject,template,Manager,0,15,0,0,0,5,0,4,0,4
yorkuproject,template,Student,0,12,0,0,0,4,0,3,0,3
yorkuproject,template,FacultyMember,0,12,0,0,0,4,0,3,0,3
yorkuproject,factory,CreditCardPayment,0,5,0,0,0,2,0,2,0,2
yorkuproject,factory,PaymentFactory,0,35,0,6,0,8,0,6,0,2
yorkuproject,factory,DebitCardPayment,0,5,0,0,0,2,0,2,0,2
yorkuproject,factory,PayPalPayment,0,5,0,0,0,2,0,2,0,2
yorkuproject,observer,ParkingLot,0,59,0,0,0,20,0,9,0,9
yorkuproject,observer,ParkingSpace,0,57,0,0,0,23,0,13,0,13
yorkuproject,observer,UpdateCSV,4,442,2,20,1,94,2,16,0,7
yorkuproject,observer,Booking,0,89,0,0,0,35,0,18,0,18
yorkuproject,service,ManagerService,138,878,14,60,35,219,12,33,0,8
yorkuproject,service,UserService,118,1005,13,79,29,252,12,47,0,13
yorkuproject,prototype,CloneParkingSpace,5,50,1,7,1,11,1,5,0,2
